index,genres,homepage,id,keywords,original_language,popularity,release_year,title,cast,director
0,Action Adventure Fantasy Science Fiction,http://www.avatarmovie.com/,19995,culture clash future space war space colony society,en,150.437577,2009,Avatar,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
1,Adventure Fantasy Action,http://disney.go.com/disneypictures/pirates/,285,ocean drug abuse exotic island east india trading company love of one's life,en,139.082615,2007,Pirates of the Caribbean: At World's End,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
2,Action Adventure Crime,http://www.sonypictures.com/movies/spectre/,206647,spy based on novel secret agent sequel mi6,en,107.376788,2015,Spectre,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
3,Action Crime Drama Thriller,http://www.thedarkknightrises.com/,49026,dc comics crime fighter terrorist secret identity burglar,en,112.31295,2012,The Dark Knight Rises,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
4,Action Adventure Science Fiction,http://movies.disney.com/john-carter,49529,based on novel mars medallion space travel princess,en,43.926995,2012,John Carter,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
5,Fantasy Action Adventure,http://www.sonypictures.com/movies/spider-man3/,559,dual identity amnesia sandstorm love of one's life forgiveness,en,115.699814,2007,Spider-Man 3,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
6,Animation Family,http://disney.go.com/disneypictures/tangled/,38757,hostage magic horse fairy tale musical,en,48.681969,2010,Tangled,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
7,Action Adventure Science Fiction,http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,marvel comic sequel superhero based on comic book vision,en,134.279229,2015,Avengers: Age of Ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
8,Adventure Fantasy Family,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,767,witch magic broom school of witchcraft wizardry,en,98.885637,2009,Harry Potter and the Half-Blood Prince,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
9,Action Adventure Fantasy,http://www.batmanvsupermandawnofjustice.com/,209112,dc comics vigilante superhero based on comic book revenge,en,155.790452,2016,Batman v Superman: Dawn of Justice,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
10,Adventure Fantasy Action Science Fiction,http://www.superman.com,1452,saving the world dc comics invulnerability sequel superhero,en,57.925623,2006,Superman Returns,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer
11,Adventure Action Thriller Crime,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,killing undercover secret agent british secret service,en,107.928811,2008,Quantum of Solace,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
12,Adventure Fantasy Action,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,145.847379,2006,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
